NAME NODE;CPU (cores);MEMORY (bytes);ACTIVE PODS;TASK;PARAMETER;EXECUTION START TIME (seconds)
cs-modeling1;1766m;1038Mi;2;3;3;10635
cs-modeling1;1990m;1200Mi;3;3;4;10702
cs-modeling1;2001m;1575Mi;4;3;3;10768
cs-modeling1;1199m;1021Mi;1;3;4;10829
cs-modeling1;1725m;1254Mi;1;3;5;10895
cs-modeling1;1863m;1524Mi;2;3;4;10960
cs-modeling1;1993m;1970Mi;3;1;1;11026
cs-modeling1;1986m;2212Mi;4;1;2;11092
cs-modeling1;321m;1021Mi;1;1;5;11153
cs-modeling1;1804m;1045Mi;2;3;3;11219
cs-modeling1;1999m;1248Mi;3;1;2;11286
cs-modeling1;1981m;1361Mi;4;3;5;11352
cs-modeling1;2001m;1270Mi;4;2;2;11414
cs-modeling1;1691m;1822Mi;2;3;3;11484
cs-modeling1;1806m;1260Mi;2;3;5;11552
cs-modeling1;1948m;1486Mi;2;3;2;11619
cs-modeling1;1974m;1813Mi;3;2;4;11685
cs-modeling1;663m;1021Mi;1;3;2;11746
cs-modeling1;1217m;1049Mi;1;1;1;11811
cs-modeling1;1730m;1036Mi;1;2;1;11878
cs-modeling1;1883m;1046Mi;2;3;4;11944
cs-modeling1;1822m;1268Mi;2;1;4;12008
cs-modeling1;1052m;1020Mi;1;2;3;12074
cs-modeling1;1826m;1040Mi;2;2;4;12140
cs-modeling1;1979m;1059Mi;3;2;1;12207
cs-modeling1;2011m;1069Mi;3;1;4;12285
cs-modeling1;1227m;1043Mi;2;3;4;12346
cs-modeling1;2005m;1542Mi;2;2;5;12414
cs-modeling1;1831m;1053Mi;2;3;2;12481
cs-modeling1;1994m;1190Mi;3;2;4;12550
cs-modeling1;1971m;1068Mi;3;2;4;12611
cs-modeling1;1044m;1027Mi;1;2;3;12677
cs-modeling1;1842m;1038Mi;2;1;3;12743
cs-modeling1;1991m;1066Mi;3;3;3;12810
cs-modeling1;2000m;1283Mi;4;1;3;12882
cs-modeling1;918m;1029Mi;1;3;1;12943
cs-modeling1;1755m;1031Mi;1;1;1;13008
cs-modeling1;1079m;1031Mi;1;1;4;13074
cs-modeling1;1744m;1042Mi;2;3;5;13141
cs-modeling1;1955m;1315Mi;3;3;1;13207
cs-modeling1;308m;1027Mi;1;1;2;13274
cs-modeling1;1803m;1043Mi;2;2;5;13340
cs-modeling1;2005m;1071Mi;3;3;4;13406
cs-modeling1;1995m;1389Mi;3;2;4;13474
